Link,Price,OwnershipType:,Property Type:,Bedrooms:,Bathrooms:,Half Bathrooms:,Access Type:,Amenities Nearby:,Built in:,Community Features:,Features:,Floor Space (approx):,Landscape Features:,Lot Depth:,Lot Frontage:,Zoning:,Sewer:,Parking Type:,Number_Parking_Spaces,Bathroom,Bedroom,Primary Bedroom,Recreation Room,Dining,Kitchen,Family,Living,Communication Type:,Fence Type:,Structure Type:,Utility Type:,Sun Room,Foyer,Utility,Laundry,Exercise,Pantry,Mudroom,Great Room,Pool Type:,Acres Range:,Architectural Style:,Basement:,Construction Materials:,Cooling:,Driveway Parking:,Exterior Features:,Heating:,Interior Features:,Laundry Features:,Lot Features:,Other Structures:,Parking Features:,Road Frontage Type:,Roof:,Security Features:,Utilities:,View:,Water Source:,Water Treatment:,Waterfront Features:,Irregular:,Lot Size:,2nd Bedroom,3rd Bedroom,Condo Fees:,MaintenanceFee Type:,Storage Type:,Fireplace Features:,Office,Den,Other,Workshop,Fencing:,Window Features:,Annual Tax Amount:,Drive:,Family Room:,Fronting On (NSEW):,Occupancy:,Pool:,Sewers:,Style:,Water:,Road Surface Type:,Storage,Eat-in Kitchen,Association Amenities:,Pool Features:,Dinette,Accessibility Features:,4th Bedroom,Common Elements Included:,Parking Included:,Water Included:,Approx Age:,Pets Permitted:,UFFI:,Parking/Drive:,Sitting,Games,Media Room,Surface Water:,5th Bedroom,Air Conditioning:,Survey:,Breakfast,Approx Square Footage:,Furnace,Flooring:,Loft,Docking Type:,Library,Business Type:,Acreage:,Playroom,Appliances Included:,Acreage Info:,Attachment Style:,Basement Development:,District:,Driveway:,Exterior Finish:,Foundation:,Geocode Source:,Heating Cooling:,Hot Water Tank Type:,Major Area:,Outdoor Features:,Property SubTypes:,PropertyType:,Rental Equipment:,Sewer Availability:,Showings:,Side Of Road:,SiteInfluences:,Sub District:,Tax Year:,Title:,Type Of Dwelling:,Water Availability:,Heating Fuel:,Soil Type:,Porch,Shore line:,Attic,View Type:,Area Influences:
https://www.royallepage.ca/en/property/ontario/london/1401-1030-coronation-drive/20146580/mls40456176/,"$515,000",,,2,2+0,,,,2011,,,1147 Square Feet,,,0.00 Feet,R9-7 H45,Sewer (Municipal),,,Main Level,Main Level4.09 X 3.10,Main Level3.51 X 4.52,,,Main Level3.30 X 4.22,,,,,,,,,,,,,,,,,1 Storey/Apt,None,Concrete,Central Air,"Covered Parking, Outside/Surface/Open, Visitor Parking",,Forced Air,High Speed Internet,In-Suite,"Urban, Ample Parking, Near Golf Course, High Traffic Area, Highway Access, Hospital, Major Highway, Place of Worship, Playground Nearby, Public Parking, Public Transit, Rec./Community Centre, Regional Mall, School Bus Route",None,Assigned,,Flat,"Carbon Monoxide Detector, Smoke Detector","Cable Available, Cell Service, Electricity Connected, Garbage/Sanitary Collection, Recycling Pickup, Street Lights, Phone Connected","City, Clear",Municipal,,,,,,,$468,,,,,,Main Level,,,Window Coverings,,,,,,,,,,,,,"Elevator(s), Fitness Center, Game Room, Guest Suites, Media Room, Parking",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/827-dufferin-avenue/20152800/mls23013744/,"$499,000",,,3,1,,,,1873,,,,,,,R3-2,Sanitary,None,,"Other level
                
            
        
        
            
                :Main LevelNote:Bath 4-Piece","Other level
                
            
        
        
            
                :Main Level2.83 m x  m9.3 ft x 8.10 IRREG ft","Other level
                
            
        
        
            
                :Main Level3.96 m x  m13 ft x 8.5 IRREG ft",Basement Level6.95 m x 3.84 m22.8 ft x 12.6 ft,,"Other level
                
            
        
        
            
                :Main Level3.60 m x  m11.8 ft x 15.1 IRREG ft",,"Other level
                
            
        
        
            
                :Main Level4.30 m x 3.99 m14.1 ft x 13.1 ft",,,,,,,,,,,,,,,,Full,,,,,,,,,,,,Asphalt Shingle,,,,,,,,,,,,,,,,,,,,,,,,,Vacant,,,,Municipal Water,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,Laminate,,,,,,,"Dishwasher, Microwave",N/A or Unknown,Detached,Unfinished,Out Of Board,Paved Drive,Aluminum/Vinyl,Concrete,Google,"Forced Air, Furnace",Gas,London,Storage Shed,Bungalow,Residential,,Connected,"Call First, Lockbox",South,"Fenced Yard, Landscaped, Sundeck",98 - Outside Board Jurisdiction,,Freehold,Bungalow,Connected,Natural Gas,,,,,,
https://www.royallepage.ca/en/property/ontario/london/210-emerson-avenue/20145278/mls40456231/,"$469,000",,,3,1+0,,,,,,,892.26 Square Feet,,190.82 Feet,40.10 Feet,R2-3,Sewer (Municipal),,5,Main Level2.69 X 2.18,Main Level3.20 X 2.72,Main Level3.33 X 4.29,Basement Level6.58 X 6.58,,,,Main Level3.71 X 3.30,,,,,,,Basement Level3.15 X 0.61,Basement Level3.05 X 2.62,,,,,,< 0.5,Bungalow,"Full, Finished",Vinyl Siding,Other,Private Drive Single Wide,"Landscaped, Recreational Area","Forced Air, Natural Gas","High Speed Internet, None",In Basement,"Urban, Rectangular, Highway Access, Playground Nearby, Schools, Shopping Nearby",Playground,"Detached Garage, Asphalt",Municipal Road,Shingle,,"Cable Connected, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Phone Connected",,Municipal,,,,,,,,,,,,,Main Level3.33 X 3.02Note:Kitchen/Dining Room,,,,,,,,,,,,,,Basement Level3.58 X 4.32,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/24-appel-st-e/20143033/mlsx6674768/,"$359,000",Freehold,Single Family,2,1,,,,,,,,,,,,,,3,,Main LevelMeasurements not available,,,,,,,,,,"Hydro - Available, Natural Gas - Available, Cable - Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,30 x 126 FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1252-medway-park-drive/20146254/mls40456584/,"$1,375,000",,,5,4+1,,,,2019,,,2678 Square Feet,,108 Feet,40.00 Feet,R1-4,Sewer (Municipal),,,2nd Level1.57 X 4.50,2nd Level3.58 X 3.25,2nd Level5.00 X 4.52,Basement Level4.75 X 9.09,Main Level6.58 X 3.43,Main Level4.24 X 4.57,,Main Level4.44 X 4.80,,,,,,,,Main Level2.39 X 3.61,,,,,,< 0.5,Two Story,"Walk-Out Access, Full, Finished","Brick, Stone, Stucco, Vinyl Siding",Central Air,Private Drive Double Wide,,Forced Air,"Auto Garage Door Remote(s), Sewage Pump",Main Level,"Urban, Rectangular, Near Golf Course, Hospital, Industrial Mall, Industrial Park, Library, Park, Place of Worship, Playground Nearby, Public Transit, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby",,"Attached Garage, Garage Door Opener",,Shingle,"Carbon Monoxide Detector, Smoke Detector",,,Municipal-Metered,,,,,,,,,,,,,2nd Level3.58 X 2.95,,,,,,,,,,,,,,,,,,Main Level4.32 X 3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1758-riverbend-road/20142041/mls40455795/,"$1,320,000",,,3,3+1,,,,2007,,,2160 Square Feet,,119.1 Feet,63.15 Feet,R1-5,Sewer (Municipal),,,Main Level,Main Level3.66 X 3.45,Main Level5.56 X 4.17,"Other level
                
            
        
        
            
                :Lower8.20 X 10.67",Main Level3.48 X 4.01,,Main Level6.65 X 4.24,Main Level3.78 X 3.45,,,,,,Main Level3.78 X 1.93,"Other level
                
            
        
        
            
                :Lower3.35 X 4.27",Main Level1.63 X 1.93,,,,,,< 0.5,Bungalow,"Full, Finished","Stone, Stucco",Central Air,Private Drive Double Wide,Landscaped,"Forced Air, Natural Gas",Auto Garage Door Remote(s),Main Level,"Urban, Near Golf Course, Greenbelt, Park, Shopping Nearby, Trails",,Attached Garage,,Asphalt Shing,,,,Municipal,,River/Stream,,,,,,,,Gas,,"Other level
                
            
        
        
            
                :Lower4.65 X 5.72","Other level
                
            
        
        
            
                :Lower3.25 X 5.59",,,,,,,,,,,,,,"Other level
                
            
        
        
            
                :Lower3.35 X 3.99",Main Level7.67 X 5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/3048-doyle-dr/20136037/mlsx6672888/,"$899,000",Freehold,Single Family,4,4,,,,,,,,,,,,,Attached garage,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.77 x 112.99 FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/86-lysanda-crt/20135365/mlsx6672546/,"$849,900",Freehold,Single Family,4,3,,,,,,,,,,,,,Attached garage,4,,Main Level3.68 m x 3.45 m12.07 ft x 11.32 ft,2nd Level4.93 m x 4.47 m16.17 ft x 14.67 ft,,Main Level3.56 m x 2.00 m11.68 ft x 6.56 ft,Main Level5.74 m x 3.89 m18.83 ft x 12.76 ft,Main Level6.86 m x 3.89 m22.51 ft x 12.76 ft,Main Level4.95 m x 3.56 m16.24 ft x 11.68 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,35 x 115.3 FT ; Pie Shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/507-460-callaway-road/20136961/mls40455079/,"$749,900",,,2,2+0,,,,2022,,,1435 Square Feet,,,,R9-7(27,Sewer (Municipal),,,Main Level1.52 X 3.05,Main Level3.66 X 3.05,Main Level4.11 X 3.28,,Main Level3.05 X 4.65,Main Level3.28 X 3.05,,Main Level3.05 X 4.65,,,,,,,,Main Level1.52 X 2.06,,Main Level0.91 X 1.52,,,,5-9.99,1 Storey/Apt,None,"Brick, Block",Central Air,Visitor Parking,"Backs on Greenbelt, Balcony, Controlled Entry, Landscaped, Lawn Sprinkler System, Recreational Area, Separate Hydro Meters, Year Round Living","Forced Air, Natural Gas","Air Exchanger, Auto Garage Door Remote(s), Built-In Appliances, Separate Hydro Meters",In-Suite,"Urban, Ample Parking, Near Golf Course, Greenbelt, Hospital, Landscaped, Public Transit, Shopping Nearby",,Garage Door Opener,"Municipal Road, Private Road, Year Round Road",Flat,"Carbon Monoxide Detector, Smoke Detector, Security Gate, Carbon Monoxide Detector(s), Concierge/Security, Security System, Smoke Detector(s)",,,Municipal,,River/Stream,,,,,$523,,,Gas,,Main Level3.05 X 2.90,Main Level2.69 X 4.11,,,Window Coverings,,,,,,,,,,Paved,,,"BBQs Permitted, Concierge, Elevator(s), Game Room, Guest Suites, Library, Party Room, Parking",,,"Accessible Elevator Installed, Accessible Kitchen, Lever Door Handles, Parking, Wheelchair Access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/78-benedict-court/20136850/mls40455123/,"$699,900",,,3,2+1,,,,1987,,,1650 Square Feet,,100 Feet,45.47 Feet,R1,Sewer (Municipal),,,2nd Level,2nd Level4.06 X 2.92,,Basement Level7.72 X 3.35,Main Level3.58 X 3.56,Main Level4.78 X 3.56,Main Level5.33 X 3.51,Main Level5.41 X 3.35,,,,,,,,,,,,,,< 0.5,Two Story,"Full, Partially Finished","Aluminum Siding, Brick Front",Central Air,Private Drive Double Wide,"Awning(s), Landscaped","Fireplace-Gas, Forced Air, Natural Gas",Built-In Appliances,In Basement,"Urban, Cul-De-Sac, Park, Playground Nearby, Public Transit, Quiet Area, Schools",,"Attached Garage, Garage Door Opener",Municipal Road,Asphalt Shing,"Carbon Monoxide Detector, Smoke Detector, Smoke Detector(s)",,,Municipal-Metered,,,,,,,,,,,,,,,Full,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/6873-royal-magnolia-ave-e/20131377/mlsx6671392/,"$699,000",Freehold,Single Family,3,3,,,,,,,,,,,,,Garage,2,Ground LevelMeasurements not available,2nd Level3.97 m x 4.45 m13.02 ft x 14.60 ft,,,Ground Level3.66 m x 4.15 m12.01 ft x 13.62 ft,,,Ground Level3.66 m x 4.88 m12.01 ft x 16.01 ft,,,,"Cable - Installed, Sewer - Installed, Hydro - Installed, Natural Gas - Installed",,Ground Level3.66 m x 3.35 m12.01 ft x 10.99 ft,,2nd Level2.13 m x 1.83 m6.99 ft x 6.00 ft,,,Ground Level2.50 m x 1.83 m8.20 ft x 6.00 ft,,,,,,,,,,,,,,,,,,,,,,,,Yes,24 x 115 FT,2nd Level3.14 m x 4.02 m10.30 ft x 13.19 ft,2nd Level3.14 m x 4.02 m10.30 ft x 13.19 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd Level2.53 m x 2.74 m8.30 ft x 8.99 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/31-wharncliffe-road-s/20136205/mls40455553/,"$624,900",,,3,2+1,,,,1921,,,1541 Square Feet,,126 Feet,36.03 Feet,UR3-2,Sewer (Municipal),,3,2nd Level,2nd Level3.35 X 6.10,2nd Level3.66 X 4.57,,Main Level3.66 X 4.27,Main Level3.05 X 2.44,,Main Level4.57 X 5.18,,,,,,,,,,,,,,< 0.5,Two Story,"Full, Unfinished","Brick, Vinyl Siding",Central Air,Private Drive Single Wide,,"Forced Air, Natural Gas","High Speed Internet, None",Upper Level,"Urban, Irregular Lot, City Lot, Landscaped, Playground Nearby, Public Transit, Schools, Shopping Nearby",,Asphalt,Municipal Road,Shingle,,"Cable Connected, Cell Service, Electricity Connected, Natural Gas Connected",,Municipal,,,,,,,,,,Family Room,,,2nd Level,,,,,,,,,,,,,Paved,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1504-45-pond-mills-road/20139317/mls40455186/,"$359,900",,,2,1+0,,,,1988,,,1005 Square Feet,,,,R9-7,Sewer (Municipal),,,Main Level,Main Level3.12 X 3.10,Main Level4.22 X 2.97,,Main Level2.57 X 2.57,Main Level2.29 X 2.77,,Main Level4.98 X 5.31,,,,,,Main Level2.92 X 1.50,,Main Level1.17 X 3.12,,,,,,,1 Storey/Apt,,Cement Siding,Central Air,Visitor Parking,,Forced Air,"Elevator, Other",In-Suite,"Urban, Ample Parking, Dog Park, City Lot, Open Spaces, Park, Playground Nearby, Quiet Area, Schools, Shopping Nearby, Other",,,,"Flat, Other",,,,Municipal,,River/Stream,,,,,$426,,,,,,,,,,,,,,,,,,,,,,"BBQs Permitted, Elevator(s), Fitness Center, Other, Parking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/59-2189-dundas-street-e/20142060/mls40456021/,"$169,000",,,2,1+0,,,,1975,,,510 Square Feet,,,0.00 Feet,R1-1,Sewer (Municipal),,3,Main Level,Main Level2.44 X 2.84,,,,Main Level2.06 X 2.84,,Main Level4.50 X 2.84,,,,,,,,Main Level2.74 X 2.44,,,,,,< 0.5,Mobile,None,Vinyl Siding,Central Air,Private Drive Single Wide,Year Round Living,"Forced Air, Natural Gas",,"Inside, Laundry Room","Urban, Airport, Dog Park, Near Golf Course, Highway Access, Hospital, Library, Major Highway, Park, Place of Worship, Playground Nearby, Public Transit, Regional Mall, Schools, Shopping Nearby, Trails",Shed(s),Gravel,Municipal Road,Metal,,"Cable Available, Cell Service, Electricity Connected, Garbage/Sanitary Collection, High Speed Internet Avail, Natural Gas Connected, Recycling Pickup, Street Lights, Phone Available",,Municipal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1401-240-villagewalk-boulevard/20149932/mls40442859/,"$1,875,000",,,3,2+1,,,,2015,,,2783.21 Square Feet,,,0.00 Feet,"H48, R9-7(16)",Sewer (Municipal),,3,"Other level
                
            
        
        
            
                :Lower","Other level
                
            
        
        
            
                :Lower7.29 X 3.51",Main Level5.46 X 7.21,"Other level
                
            
        
        
            
                :Lower7.87 X 6.22",,Main Level2.69 X 5.26,,Main Level6.86 X 7.11,,,,,,,,Main Level1.68 X 2.16,,,,,,,Two Story,,Cement Siding,Central Air,"Outside/Surface/Open, Visitor Parking","Balcony, Controlled Entry","Forced Air, Natural Gas","High Speed Internet, Other",In-Suite,"Urban, Airport, Ample Parking, Near Golf Course, Hospital, Park, Place of Worship, Playground Nearby, Public Transit, Schools, Shopping Nearby",,Inside Entry,Municipal Road,"Flat, Membrane","Smoke Detector, Carbon Monoxide Detector(s)","Cable Connected, Cell Service, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights, Phone Connected",Panoramic,Municipal,,,,,,,"$1,163",,,"Electric, Family Room, Living Room",,,Main Level,,,,,,,,,,,,,,,,"Elevator(s), Fitness Center, Game Room, Guest Suites, Library, Media Room, Pool, Parking","Indoor, Salt Water, Indoor, Salt Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/2208-red-thorne-avenue/20129382/mls40439945/,"$1,280,000",,,4,3+1,,,,,,,2875 Square Feet,,105 Feet,50.90 Feet,R1-4,Sewer (Municipal),,4,Main Level,2nd Level4.34 X 4.06,2nd Level5.41 X 6.58,Basement Level8.41 X 7.82,Main Level4.85 X 3.66,Main Level3.71 X 6.02,,Main Level5.03 X 4.95,,,,,,Main Level2.77 X 2.46,Basement Level4.98 X 2.67,Main Level1.93 X 2.39,,,,,,< 0.5,Two Story,"Full, Finished","Brick, Stone, Stucco",Central Air,Private Drive Double Wide,,"Forced Air, Natural Gas","Central Vacuum, Built-In Appliances","Laundry Room, Main Level","Urban, Hospital, Place of Worship, Playground Nearby, Public Parking, Schools",,"Attached Garage, Garage Door Opener",,Shingle,,,,Municipal,,,,,,,,,,,2nd Level2.84 X 1.91,,2nd Level,,,Window Coverings,,,,,,,,,,,,Main Level3.71 X 3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/685-springwood-crescent/20135480/mls40455616/,"$849,000",,,3,2+1,,,,,,,1900 Square Feet,,110.19 Feet,36.18 Feet,R1-13,Sewer (Municipal),,4,Main Level,2nd Level0.97 X 1.22,,,Main Level1.09 X 1.09,Main Level1.12 X 0.94,,Main Level1.85 X 1.09,,,,,,,,,,,,,,Not Applicable,Two Story,"Full, Unfinished",Brick,Central Air,Private Drive Double Wide,,Forced Air,,,"Rural, None",,Attached Garage,,Other,,,,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/19-cliftonvale-ave/20127238/mlsx6669102/,"$629,900",Freehold,Single Family,2+2,3,,,"Hospital, Park, Public Transit, Schools",,,,,,,,,,,3,Ground LevelMeasurements not available,Ground LevelMeasurements not available,,,,Ground LevelMeasurements not available,,Basement LevelMeasurements not available,,,,"Natural Gas - Installed, Sewer - Installed",,,,Basement LevelMeasurements not available,,,,Ground LevelMeasurements not available,,,,,,,,,,,,,,,,,,,,,,,Yes,32.84 x 125 FT,Ground LevelMeasurements not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1598-hansuld-street/20129350/mls40454719/,"$629,000",,,5,2+0,,,,1956,,,941 Square Feet,,135.35 Feet,55.97 Feet,R1-6,Sewer (Municipal),,,Main Level2.16 X 1.96,Main Level2.39 X 3.63,,"Other level
                
            
        
        
            
                :Lower6.07 X 3.30",,,,Main Level3.35 X 4.57,,,,,,,"Other level
                
            
        
        
            
                :Lower2.26 X 3.53","Other level
                
            
        
        
            
                :Lower1.63 X 2.74",,,,,,< 0.5,Bungalow,"Full, Finished","Brick, Concrete",Central Air,Private Drive Single Wide,,"Forced Air, Natural Gas",,Lower Level,"Urban, Public Transit, School Bus Route, Schools, Shopping Nearby",,,,Shingle,"Carbon Monoxide Detector, Smoke Detector",,,Municipal-Metered,,,,,,,,,,,,,Main Level5.89 X 2.36Note:Kitchen/Dining Room,,,Window Coverings,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/306-731-deveron-crescent/20130358/mls40455095/,"$344,900",,,2,1+0,,,,,,,900 Square Feet,,,,R8-4,Sewer (Municipal),,,Main Level,Main Level3.05 X 3.81,Main Level3.35 X 3.66,,Main Level3.20 X 2.29,Main Level2.62 X 2.29,,Main Level4.88 X 3.66,,,,,,,,,,,,,,Not Applicable,1 Storey/Apt,,"Brick, Vinyl Siding",Other,"Outside/Surface/Open, Visitor Parking",Balcony,"Baseboard, Electric, Fireplace-Gas",Other,"In-Suite, Laundry Closet","Urban, Ample Parking, City Lot, Highway Access, Hospital, Library, Playground Nearby, Regional Mall, Schools, Shopping Nearby, Trails",None,Unassigned,"Municipal Road, Private Road",Asphalt Shing,Smoke Detector(s),"Garbage/Sanitary Collection, High Speed Internet Avail, Recycling Pickup",,Municipal,,,,,,,$333,,,Gas,,,,,,,,,,,,,,,,,,,"BBQs Permitted, Elevator(s), Fitness Center, Party Room, Pool, Parking","In Ground, Salt Water, In Ground, Salt Water",,Accessible Elevator Installed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/1527-gloucester-road/20132349/mls40455264/,"$1,875,000",,,5,2+1,,,,1958,,,3026 Square Feet,,330 Feet,164.00 Feet,R1-10,Sewer (Municipal),,,2nd Level,2nd Level4.06 X 3.78,2nd Level7.39 X 3.66,,Main Level5.56 X 3.51,Main Level4.55 X 3.84,Main Level4.75 X 3.68,Main Level6.30 X 4.39,,,,,,,,Main Level3.63 X 2.01,,,,,,,Two Story,"Full, Partially Finished","Aluminum Siding, Brick",None,Private Drive Double Wide,,Gas Hot Water,,Main Level,"Urban, Reverse Pie, Greenbelt, Hospital, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Ravine, Regional Mall, School Bus Route, Schools, Shopping Nearby, Trails",,Attached Garage,Municipal Road,Asphalt Shing,,,,Municipal,,River/Stream,,,,,,,,"Family Room, Wood Burning",,,Main Level3.43 X 2.46Note:Breakfast Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/685-springwood-cres/20124864/mlsx6667948/,"$849,000",Freehold,Single Family,3,3,,,,,,,,,,,,,Attached garage,4,2nd LevelMeasurements not available,2nd Level4.17 m x 3.76 m13.68 ft x 12.34 ft,,,Main Level3.71 m x 3.78 m12.17 ft x 12.40 ft,Main Level3.81 m x 3.15 m12.50 ft x 10.33 ft,,Main Level6.15 m x 3.76 m20.18 ft x 12.34 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,36.18 x 110.19 FT,2nd Level3.25 m x 3.12 m10.66 ft x 10.24 ft,2nd Level3.48 m x 3.12 m11.42 ft x 10.24 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/138-3320-meadowgate-boulevard/20129336/mls40454358/,"$549,900",,,3,2+1,,,,,,,1330 Square Feet,,,,R6-5; R8-4,Sewer (Municipal),,,Main Level1.42 X 1.47,2nd Level2.46 X 3.51,2nd Level4.32 X 4.04,,Main Level3.45 X 2.90,Main Level5.00 X 3.35,Basement Level4.85 X 5.46,Main Level3.86 X 4.55,,,,,,,Basement Level5.08 X 5.28,,,,,,,Not Applicable,Two Story,"Other, Full, Partially Finished, Sump Pump","Aluminum Siding, Brick Front",Central Air,"Outside/Surface/Open, Visitor Parking",,"Fireplace(s), Forced Air","High Speed Internet, Floor Drains, Ventilation System","Laundry Room, Upper Level","Urban, Hospital, Major Highway, Park, Place of Worship, Playground Nearby, Public Transit, School Bus Route, Schools, Shopping Nearby",None,Assigned,"Municipal Road, Private Road",Fiberglass,"Carbon Monoxide Detector, Smoke Detector, None","Cable Available, Electricity Connected, Garbage/Sanitary Collection, Natural Gas Connected, Recycling Pickup, Street Lights, Phone Connected",,Municipal-Metered,,,,,,,,,,,,,Basement Level3.15 X 2.06,,,Window Coverings,,,,,,,,,,,,,"BBQs Permitted, Parking",None,,Accessible Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/35-cuddy-blvd/20125166/mlsx6668460/,$1,,Vacant Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,246.6 x 234.1 FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.royallepage.ca/en/property/ontario/london/35-cuddy-boulevard/20125178/mlsh4168750/,$1,,Vacant Land,,,,,,,,,1.00 Square Feet,,234.0 Feet,246.0 Feet,LI2,Municipal sewage system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,246.6 x 234.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
