,Link,Price,Bedrooms:,Bathrooms:,Floor Space (approx):,Lot Frontage:,Zoning:,Sewer:,Bathroom,Bedroom,Primary Bedroom,Kitchen,Acres Range:,Architectural Style:,Basement:,Construction Materials:,Cooling:,Driveway Parking:,Heating:,Lot Features:,Roof:,Water Source:,Number_Parking_Spaces
116,https://www.royallepage.ca/en/property/ontario/london/1681-finley-cres/20264163/mlsx6720396/,"$899,000",4,3,,,,,,,,,,,,,,,,,,,6.0
117,https://www.royallepage.ca/en/property/ontario/london/1204-huron-st-n/20263084/mlsx6720542/,"$749,900",3+2,2,,,,,Main LevelMeasurements not available,Basement Level3.33 m x 3.02 m10.93 ft x 9.91 ft,Main Level3.40 m x 3.33 m11.15 ft x 10.93 ft,Main Level4.06 m x 3.73 m13.32 ft x 12.24 ft,,,,,,,,,,,5.0
118,https://www.royallepage.ca/en/property/ontario/london/174-king-st/20264179/mlsx6720058/,$1,,,,,,,,,,,,,,,,,,,,,8.0
119,https://www.royallepage.ca/en/property/ontario/london/1378-red-pine-cross/20258190/mlsx6719616/,"$990,000",4+1,4,,40.18 Feet,,,,Main Level4.38 m x 3.03 m14.37 ft x 9.94 ft,,"Main Level3.49 m x 3.91 m11.45 ft x 12.83 ftNote:Backsplash, Hardwood Floor",,,,,,,,,,,6.0
120,https://www.royallepage.ca/en/property/ontario/london/838-railton-avenue/20268385/mls40464215/,"$720,000",4,2+0,1645 Square Feet,39.00 Feet,R1,Sewer (Municipal),Basement Level1.91 X 2.29,2nd Level2.97 X 3.33,2nd Level3.53 X 4.04,Main Level4.52 X 5.16,< 0.5,1.5 Storey,"Full, Finished","Brick Front, Vinyl Siding",Central Air,Private Drive Double Wide,"Fireplace-Gas, Forced Air, Natural Gas","Urban, Airport, Library, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, Regional Mall, Schools, Trails",Asphalt Shing,Municipal-Metered,3.0
121,https://www.royallepage.ca/en/property/ontario/london/241-admiral-dr/20259260/mlsx6719116/,"$619,900",3+3,2,,,,,Main LevelMeasurements not available,Basement LevelMeasurements not available,Main LevelMeasurements not available,Main LevelMeasurements not available,,,,,,,,,,,4.0
122,https://www.royallepage.ca/en/property/ontario/london/3077-white-oak-road/20265490/mls40464416/,"$1,950,000",0,,,105.00 Feet,R1-10,Sewer (Municipal),,,,,< 0.5,,Partial,Vinyl Siding,,,,"Square, Highway Access, Hospital, Public Transit, Schools",,Municipal,15.0
123,https://www.royallepage.ca/en/property/ontario/london/3077-white-oak-road/20269384/mls40464426/,"$1,950,000",,,,105.00 Feet,R1-10,Sewer (Municipal),,,,,< 0.5,,,,,,,"Urban, Square, Corner Lot, Highway Access, Hospital, Library, Public Transit, Schools, Shopping Nearby",,Municipal,
124,https://www.royallepage.ca/en/property/ontario/london/23-redford-road/20255609/mls40464055/,"$1,799,900",5,3+1,2159 Square Feet,85.17 Feet,R1-10,Septic Tank,"Other level
                
            
        
        
            
                :Lower","Other level
                
            
        
        
            
                :Lower4.70 X 3.35",Main Level4.17 X 4.75,Main Level3.43 X 6.40,< 0.5,Bungalow,"Separate Entrance, Full, Finished, Sump Pump","Stone, Stucco",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Irregular Lot, Near Golf Course, Hospital, Landscaped, Playground Nearby, Public Transit, Shopping Nearby, Trails",Shingle,Well,
125,https://www.royallepage.ca/en/property/ontario/london/1378-red-pine-cross/20258838/mls40464589/,"$990,000",5,3+1,2789 Square Feet,40.18 Feet,Residential,Sewer (Municipal),2nd Level,2nd Level3.12 X 3.15,2nd Level4.24 X 5.31,,< 0.5,Two Story,"Full, Unfinished","Brick, Stone",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Public Transit, School Bus Route, Schools",Asphalt Shing,Municipal,
126,https://www.royallepage.ca/en/property/ontario/london/2512-holbrook-dr/20247612/mlsx6715810/,"$889,000",4,4,,,,,Main LevelMeasurements not available,Basement Level3.81 m x 3.35 m12.50 ft x 10.99 ft,2nd Level4.42 m x 4.06 m14.50 ft x 13.32 ft,Main Level4.01 m x 2.95 m13.16 ft x 9.68 ft,,,,,,,,,,,2.0
127,https://www.royallepage.ca/en/property/ontario/london/21-1570-richmond-st/20245387/mlsx6714258/,"$748,000",4,4,,,,,,Main Level4.47 m x 4.28 m14.67 ft x 14.04 ft,3rd Level4.06 m x 3.76 m13.32 ft x 12.34 ft,2nd Level4.28 m x 2.90 m14.04 ft x 9.51 ft,,,,,,,,,,,2.0
128,https://www.royallepage.ca/en/property/ontario/london/6-499-teeple-terrace/20255122/mls40464225/,"$499,900",3,2+1,1550 Square Feet,,R5-1; D20,Sewer (Municipal),Main Level,2nd Level3.23 X 3.17,2nd Level4.44 X 3.43,,Not Applicable,Two Story,"Development Potential, Full, Unfinished","Brick, Shingle Siding, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Landscaped, Park, Public Transit, Schools, Shopping Nearby",Shingle,Municipal-Metered,
129,https://www.royallepage.ca/en/property/ontario/london/2053-commissioners-road-e/20259906/mls40462648/,"$499,000",3,1+0,1417.66 Square Feet,81.35 Feet,AG1,Septic Tank,Main Level2.51 X 2.29,2nd Level4.57 X 3.02,2nd Level5.26 X 3.45,Main Level3.56 X 4.42,< 0.5,Split Level,,Vinyl Siding,Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Irregular Lot, Highway Access, Major Highway, Park, Schools, Shopping Nearby, Trails",Shingle,Well,
130,https://www.royallepage.ca/en/property/ontario/london/1181-florence-st/20250286/mlsx6663138/,"$439,900",2+1,2,,,,,,Main Level3.35 m x 2.44 m10.99 ft x 8.01 ft,,Main Level2.74 m x 1.83 m8.99 ft x 6.00 ft,,,,,,,,,,,3.0
131,https://www.royallepage.ca/en/property/ontario/london/32-166-gardenwood-drive/20290369/mls40464747/,"$325,000",2,1+1,0 Square Feet,0.00 Feet,R5-3,Sewer (Municipal),Main Level,2nd Level4.17 X 2.62,2nd Level4.62 X 3.78,Main Level2.46 X 2.57,< 0.5,Two Story,"Full, Unfinished",Brick,,Outside/Surface/Open,"Baseboard, Fireplace-Gas","Urban, Ample Parking, Place of Worship, Public Transit, Quiet Area, Schools, Shopping Nearby",Asphalt Shing,Municipal,
132,https://www.royallepage.ca/en/property/ontario/london/1106-jalna-boulevard-unit-204/20246911/mls23015098/,"$280,000",1,,500.00 Square Feet,,RES CONDO,,"Main Level3 ft ,3 in x Measurements not available",Main LevelMeasurements not available,,Main Level5 ft x Measurements not available,,,,,,,,,,,
133,https://www.royallepage.ca/en/property/ontario/london/504-583-mornington-avenue/20255133/mls40462579/,"$250,000",2,1+0,900 Square Feet,0.00 Feet,R9-3,Sewer (Municipal),Main Level,Main Level3.48 X 3.35,Main Level4.37 X 3.66,Main Level2.44 X 1.83,,1 Storey/Apt,,Cement Siding,Wall Unit(s),"Outside/Surface/Open, Visitor Parking",Other,"Urban, Airport, Ample Parking, High Traffic Area, Highway Access, Landscaped, Library, Major Highway, Place of Worship, Playground Nearby, Public Transit, School Bus Route, Schools, Shopping Nearby",Tar/Gravel,Municipal-Metered,
134,https://www.royallepage.ca/en/property/ontario/london/195-byers-street/20246920/mls40463456/,"$949,000",4,2+1,2362 Square Feet,30.83 Feet,R1-13(7),Sewer (Municipal),2nd Level3.76 X 2.44,2nd Level3.76 X 4.01,2nd Level5.44 X 4.27,Main Level3.81 X 3.61,< 0.5,Two Story,"Full, Unfinished","Brick, Stone, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Pie Shaped Lot, Highway Access, Open Spaces, Playground Nearby, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby",Shingle,Municipal-Metered,
135,https://www.royallepage.ca/en/property/ontario/london/310-260-villagewalk-boulevard/20251317/mls40461898/,"$849,900",2,2+0,1470.18 Square Feet,,R9-7(16)*H48,Sewer (Municipal),Main Level3.66 X 1.73,Main Level4.55 X 2.82,Main Level4.22 X 3.63,Main Level4.47 X 4.27,,1 Storey/Apt,,Concrete,"Central Air, Energy Efficient",Covered Parking,"Forced Air, Natural Gas","Urban, Near Golf Course, Park, Public Transit, Ravine, Schools, Shopping Nearby, Trails",Flat,Municipal,1.0
136,https://www.royallepage.ca/en/property/ontario/london/505-oxford-st-e/20239369/mlsx6712156/,"$749,900",4,2,,,,,,,,,,,,,,,,,,,6.0
137,https://www.royallepage.ca/en/property/ontario/london/1715-devos-dr/20239695/mlsx6711708/,"$635,000",2+2,2,,,,,Main Level1.83 m x 2.49 m6.00 ft x 8.17 ft,Main Level2.90 m x 3.28 m9.51 ft x 10.76 ft,Main Level4.09 m x 3.61 m13.42 ft x 11.84 ft,Main Level3.28 m x 3.63 m10.76 ft x 11.91 ft,,,,,,,,,,,2.0
138,https://www.royallepage.ca/en/property/ontario/london/41-1010-fanshawe-park-rd-e/20239373/mlsx6712246/,"$624,999",3,3,,,,,,,2nd Level4.95 m x 4.06 m16.24 ft x 13.32 ft,Main Level3.51 m x 3.28 m11.52 ft x 10.76 ft,,,,,,,,,,,3.0
139,https://www.royallepage.ca/en/property/ontario/london/6-genevive-crescent/20251252/mls40464161/,"$565,000",3,2+0,1075 Square Feet,98.00 Feet,R1-6,Sewer (Municipal),Main Level2.84 X 2.13,Main Level3.07 X 2.84,,Main Level2.84 X 5.79,< 0.5,Bungalow,"Full, Finished","Brick, Shingle Siding",Central Air,"Carport Parking, Private Drive Single Wide",Natural Gas,"Urban, Reverse Pie, Near Golf Course, Highway Access, Landscaped, Park, Place of Worship, Schools",Asphalt Shing,Municipal-Metered,
140,https://www.royallepage.ca/en/property/ontario/london/23-550-second-st/20245054/mlsx6713796/,"$499,900",3+3,3,,,,,Main Level1.52 m x 1.63 m4.99 ft x 5.35 ft,Lower Level3.33 m x 1.00 m10.93 ft x 3.28 ft,,Main Level3.53 m x 3.23 m11.58 ft x 10.60 ft,,,,,,,,,,,1.0
141,https://www.royallepage.ca/en/property/ontario/london/44-159-sandringham-crescent/20246818/mls40463640/,"$439,900",3,1+2,1340 Square Feet,,R5-5,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower",3rd Level3.66 X 3.20,3rd Level5.87 X 3.81,2nd Level5.36 X 3.53,,Split Level,"Full, Partially Finished","Brick, Vinyl Siding",,Covered Parking,"Baseboard, Electric, Fireplace-Gas","Urban, City Lot, Highway Access, Hospital, Major Highway, Playground Nearby, Public Transit, Schools, Shopping Nearby",Shingle,Municipal,2.0
142,https://www.royallepage.ca/en/property/ontario/london/3469-settlement-trail/20237921/mls40462828/,"$1,199,900",4,3+0,1690 Square Feet,54.51 Feet,R2-1,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower",Main Level3.25 X 3.56,Main Level3.78 X 4.70,,< 0.5,Bungalow,"Full, Partially Finished","Brick, Stone, Stucco",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Highway Access, Landscaped, Park, Place of Worship, Playground Nearby, Schools, Shopping Nearby",Shingle,Municipal,4.0
143,https://www.royallepage.ca/en/property/ontario/london/2057-westpoint-heights/20237549/mls40462772/,"$1,099,000",5,3+1,3100 Square Feet,49.00 Feet,R1-4,Sewer (Municipal),2nd Level,"Other level
                
            
        
        
            
                :Lower4.70 X 3.28",2nd Level5.41 X 4.65,Main Level4.57 X 3.73,< 0.5,Two Story,"Full, Finished, Sump Pump","Brick, Stone, Stucco, Vinyl Siding","Central Air, Other",Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Major Highway, Park, Place of Worship, Playground Nearby, Schools, Shopping Nearby",Shingle,Municipal,
144,https://www.royallepage.ca/en/property/ontario/london/225-wellington-street/20254273/mls40462000/,"$950,000",0,,,44.75 Feet,BDC,Sewer (Municipal),,,,,< 0.5,,"Walk-Up Access, Full, Unfinished","Aluminum Siding, Cement Siding, Stone",Central Air,Private Drive Single Wide,Forced Air,"Business Centre, City Lot, High Traffic Area, Highway Access, Hospital, Landscaped, Library, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Quiet Area, Rail Access, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby, Trails",,Municipal,
145,https://www.royallepage.ca/en/property/ontario/london/3895-auckland-ave/20232441/mlsx6709394/,"$779,000",3,3,,,,,,,2nd Level5.51 m x 4.50 m18.08 ft x 14.76 ft,Main Level3.65 m x 2.83 m11.98 ft x 9.28 ft,,,,,,,,,,,3.0
146,https://www.royallepage.ca/en/property/ontario/london/8-3557-colonel-talbot-road/20244375/mls40461495/,"$699,900",3,2+1,1577 Square Feet,,R5-6(14),Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower1.50 X 2.39",3rd Level2.72 X 4.04,"Other level
                
            
        
        
            
                :Upper6.53 X 3.35","Other level
                
            
        
        
            
                :Lower1.52 X 1.45",< 0.5,Split Level,"Separate Entrance, Other, Full, Partially Finished","Brick, Vinyl Siding, Other",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Rectangular, Landscaped, Major Highway, Open Spaces, Place of Worship, Shopping Nearby, Trails",Shingle,Municipal-Metered,
147,https://www.royallepage.ca/en/property/ontario/london/2005-505-talbot-street/20237906/mls40463043/,"$675,000",2,2+0,1250 Square Feet,,"DA2,D250,B-33",Sewer (Municipal),Main Level,Main Level3.66 X 3.53,Main Level4.72 X 4.11,Main Level3.61 X 4.24,Not Applicable,1 Storey/Apt,,"Brick Veneer, Cement Siding, Concrete, Steel Siding",Central Air,,Forced Air,"Urban, Arts Centre, Business Centre, Hospital, Park, Place of Worship, Public Parking, Public Transit, Rec./Community Centre, Shopping Nearby",Flat,Municipal-Metered,
148,https://www.royallepage.ca/en/property/ontario/london/1701-1235-richmond-st/20232453/mlsx6709712/,"$650,000",3,2,,,,,,,Main Level4.90 m x 2.74 m16.08 ft x 8.99 ft,Main Level4.23 m x 3.08 m13.88 ft x 10.10 ft,,,,,,,,,,,1.0
149,https://www.royallepage.ca/en/property/ontario/london/2610-sheffield-boulevard/20244328/mls40459867/,"$649,000",3,2+2,1698 Square Feet,23.03 Feet,R5-6(8); R7(16); R6-5,Sewer (Municipal),3rd Level,3rd Level3.07 X 2.74,3rd Level3.81 X 3.38,2nd Level3.99 X 3.28,< 0.5,3 Storey,,"Aluminum Siding, Brick, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Rectangular, Playground Nearby",Shingle,Municipal,
150,https://www.royallepage.ca/en/property/ontario/london/166-177-edgevalley-rd/20230517/mlsx6708266/,"$629,900",3,4,,,,,Main LevelMeasurements not available,3rd Level3.20 m x 2.54 m10.50 ft x 8.33 ft,3rd Level4.23 m x 3.00 m13.88 ft x 9.84 ft,2nd Level3.73 m x 4.10 m12.24 ft x 13.45 ft,,,,,,,,,,,2.0
151,https://www.royallepage.ca/en/property/ontario/london/177-edgevalley-roadunit-166/20230675/mlsh4170452/,"$629,900",3,4,1737.00 Square Feet,,,Municipal sewage system,Ground LevelMeasurements not available,3rd Level11' '' x 9' '',3rd Level14' '' x 9' 10'',2nd Level12' 3'' x 13' 4'',,,,,,,,,,,2.0
152,https://www.royallepage.ca/en/property/ontario/london/228-east-street/20237868/mls40462040/,"$424,900",2,1+0,794.45 Square Feet,30.00 Feet,R2-2,Sewer (Municipal),Main Level2.11 X 1.57,Main Level3.12 X 2.74,Main Level3.12 X 2.97,Main Level5.26 X 2.59,< 0.5,Bungalow,"Full, Unfinished",Vinyl Siding,Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Rectangular, Landscaped, Library, Park, Place of Worship, Playground Nearby, Public Transit, Rec./Community Centre, School Bus Route, Schools, Shopping Nearby, Trails",Shingle,Municipal,
153,https://www.royallepage.ca/en/property/ontario/london/181-183-sydenham-street/20229778/mls40462074/,"$1,299,800",6,4+1,2620 Square Feet,54.54 Feet,R3-2,Sewer (Municipal),Main Level3.17 X 1.78,Main Level2.74 X 3.15,2nd Level5.84 X 2.51,Main Level3.40 X 2.82,< 0.5,Two Story,"Partial, Unfinished","Brick, Block, Shingle Siding, Vinyl Siding",Central Air,"Private Drive Single Wide, Private Drive Double Wide","Forced Air, Natural Gas","Urban, Irregular Lot, Ample Parking, City Lot, Hospital, Park, Place of Worship, Public Transit, Schools, Shopping Nearby, Trails",Shingle,Municipal-Metered,
154,https://www.royallepage.ca/en/property/ontario/london/6322-heathwoods-avenue/20223299/mls23014895/,"$949,999",4,4,2366,,R1-3,,Main LevelMeasurements not available,2nd LevelMeasurements not available,2nd LevelMeasurements not available,Main LevelMeasurements not available,,,,,,,,,,,
155,https://www.royallepage.ca/en/property/ontario/london/5-4690-colonel-talbot-road/20229172/mls40461673/,"$919,000",3,2+0,1967 Square Feet,174.89 Feet,R6-1,Septic Tank,Main Level2.39 X 2.24,Main Level4.32 X 3.35,Main Level6.15 X 3.81,Main Level5.03 X 2.13,,Bungalow,"Full, Partially Finished",Brick,Central Air,"Private Drive Double Wide, Visitor Parking","Forced Air, Natural Gas","Urban, Rectangular, Ample Parking, Cul-De-Sac, Near Golf Course, Highway Access, Hospital, Landscaped, Library, Place of Worship, Playground Nearby, Rec./Community Centre, Schools, Skiing",Asphalt Shing,Municipal,
156,https://www.royallepage.ca/en/property/ontario/london/6621-navin-crescent/20232759/mls40462113/,"$809,000",3,2+1,1658 Square Feet,36.09 Feet,R-1,Sewer (Municipal),2nd Level,2nd Level4.39 X 3.30,2nd Level5.03 X 4.34,Main Level3.61 X 3.68,< 0.5,Two Story,"Full, Unfinished, Sump Pump","Brick, Stucco, Vinyl Siding",Central Air,Private Drive Single Wide,"Forced Air, Natural Gas","Urban, Near Golf Course, Hospital, Landscaped, Park, Playground Nearby, Public Transit, School Bus Route, Schools, Shopping Nearby, Skiing",Asphalt Shing,Municipal,
157,https://www.royallepage.ca/en/property/ontario/london/767-southdale-road-e/20232890/mls40462636/,"$749,500",4,2+1,1481 Square Feet,105.00 Feet,SFR,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower",Main Level2.79 X 3.00,Main Level4.09 X 3.33,"Other level
                
            
        
        
            
                :Lower2.74 X 2.87",< 0.5,Bungalow,"Full, Finished",Brick,Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Shopping Nearby",Asphalt Shing,Municipal,
158,https://www.royallepage.ca/en/property/ontario/london/63-golfview-crescent/20229156/mls40460288/,"$659,000",3,2+0,1114.63 Square Feet,50.13 Feet,R1-6,Sewer (Municipal),2nd Level2.54 X 1.55,2nd Level4.22 X 3.58,2nd Level4.01 X 3.91,2nd Level3.30 X 2.69,< 0.5,Backsplit,"Full, Finished","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Near Golf Course, Highway Access, Hospital, Library, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Quiet Area, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby, Trails",Asphalt Shing,Municipal-Metered,6.0
159,https://www.royallepage.ca/en/property/ontario/london/1-beverly-street/20229672/mls40462355/,"$499,900",3,2+0,600 Square Feet,40.00 Feet,R2-2,Sewer (Municipal),"Other level
                
            
        
        
            
                :Lower1.93 X 1.83","Other level
                
            
        
        
            
                :Lower2.67 X 2.64",,Main Level3.51 X 2.26,< 0.5,Bungalow,"Full, Finished",Vinyl Siding,Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, City Lot, Hospital, Library, Park, Place of Worship, Playground Nearby, Public Transit, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,
160,https://www.royallepage.ca/en/property/ontario/london/302-353-commissioners-road-w/20231090/mls40462495/,"$379,900",1,1+0,825 Square Feet,400.00 Feet,R7/R9-7,Sewer (Municipal),Main Level,,Main Level4.42 X 2.74,Main Level3.89 X 2.74,,1 Storey/Apt,,"Concrete, Stucco",Central Air,Private Drive Single Wide,Natural Gas,"Urban, Hospital, Playground Nearby, Public Transit, Quiet Area, Schools, Shopping Nearby",Flat,Municipal,
161,https://www.royallepage.ca/en/property/ontario/london/143-1096-jalna-boulevard/20232757/mls40462658/,"$347,000",2,1+0,857 Square Feet,,R8-3,Sewer (Municipal),Main Level3.07 X 1.68,Main Level2.87 X 3.58,Main Level3.07 X 4.09,Main Level3.81 X 2.21,,1 Storey/Apt,,"Brick, Vinyl Siding",Wall Unit(s),Outside/Surface/Open,"Baseboard, Fireplace-Gas, Heat Pump","Urban, Hospital, Public Transit, Regional Mall, Schools, Shopping Nearby",Shingle,Municipal,
162,https://www.royallepage.ca/en/property/ontario/london/212-563-mornington-avenue/20232837/mls40461490/,"$264,900",1,1+0,683 Square Feet,0.00 Feet,R9-3,Sewer (Municipal),Main Level1.68 X 0.00,Main Level3.78 X 0.00,,,Not Applicable,1 Storey/Apt,"None, Unfinished","Aluminum Siding, Cedar, Cement Siding, Concrete","Wall Unit(s), Window Unit(s)",Visitor Parking,Baseboard,"Urban, Airport, Ample Parking, Highway Access, Hospital, Place of Worship, Playground Nearby, Public Parking",Flat,"Municipal, Municipal-Metered",
163,https://www.royallepage.ca/en/property/ontario/london/1909-boardwalk-way/20220938/mlsx6704686/,"$1,345,000",4+1,5,,,,,,2nd Level4.70 m x 4.20 m15.42 ft x 13.78 ft,,Ground Level7.00 m x 5.00 m22.97 ft x 16.40 ft,,,,,,,,,,,4.0
164,https://www.royallepage.ca/en/property/ontario/london/2959-petty-road/20227330/mls40461524/,"$978,500",5,3+1,2200 Square Feet,40.24 Feet,R1-3(21),Sewer (Municipal),2nd Level,"Other level
                
            
        
        
            
                :Lower3.45 X 2.97",2nd Level5.46 X 3.96,Main Level3.45 X 3.05,< 0.5,Two Story,"Separate Entrance, Full, Unfinished","Brick Veneer, Stucco, Vinyl Siding","Central Air, Humidity Control",Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Open Spaces, Park, Place of Worship, Playground Nearby, Public Transit, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby",Shingle,Municipal-Metered,
165,https://www.royallepage.ca/en/property/ontario/london/67-julie-crescent/20223591/mls40461855/,"$854,200",3,2+1,1654 Square Feet,36.00 Feet,R1-1,Sewer (Municipal),Main Level,2nd Level3.20 X 3.28,Main Level3.84 X 4.06,Main Level3.33 X 3.63,< 0.5,Bungaloft,"Walk-Out Access, Full, Unfinished",Other,Central Air,Private Drive Single Wide,Forced Air,"Urban, Highway Access, Hospital, Open Spaces, Public Transit, Quiet Area, Schools, Shopping Nearby, Trails",Shingle,Municipal,
166,https://www.royallepage.ca/en/property/ontario/london/89-christopher-court/20223583/mls40461882/,"$849,900",2,0+0,1295 Square Feet,38.00 Feet,SFR,Sewer (Municipal),,Main Level3.76 X 2.97,Main Level4.83 X 3.71,Main Level2.34 X 3.51,Not Applicable,Bungalow,"Full, Unfinished",Other,Central Air,Private Drive Single Wide,Forced Air,"Urban, Airport, Highway Access, Hospital, Open Spaces, Public Transit, Quiet Area, Schools, Shopping Nearby, Trails",Shingle,Municipal,
167,https://www.royallepage.ca/en/property/ontario/london/973-deveron-crescent/20229764/mls40461961/,"$814,900",4,3+1,1654 Square Feet,32.00 Feet,R1-1,Sewer (Municipal),Main Level,2nd Level3.40 X 3.12,"Other level
                
            
        
        
            
                :Lower2.87 X 3.23","Other level
                
            
        
        
            
                :Lower2.97 X 2.72",< 0.5,Two Story,"Other, Full, Finished",Other,Central Air,Private Drive Single Wide,Forced Air,"Urban, Highway Access, Hospital, Open Spaces, Public Transit, Quiet Area, Schools, Shopping Nearby, Trails",Shingle,Municipal,
168,https://www.royallepage.ca/en/property/ontario/london/38-julie-crescent/20229731/mls40461845/,"$773,900",3,2+1,1641 Square Feet,36.00 Feet,R1-1,Sewer (Municipal),Main Level,2nd Level3.05 X 4.19,2nd Level4.60 X 4.65,Main Level2.84 X 0.61,< 0.5,Two Story,"Walk-Out Access, Full, Unfinished",Other,Central Air,Private Drive Single Wide,Forced Air,"Urban, Highway Access, Hospital, Open Spaces, Public Transit, Quiet Area, Schools, Shopping Nearby, Trails",Shingle,Municipal,
169,https://www.royallepage.ca/en/property/ontario/london/971-deveron-crescent/20229630/mls40461983/,"$755,900",3,2+1,1618 Square Feet,32.00 Feet,R1-1,Sewer (Municipal),2nd Level,2nd Level3.20 X 4.06,2nd Level3.61 X 4.83,Main Level3.81 X 2.84,< 0.5,Backsplit,"Other, Full, Unfinished",Other,Central Air,Private Drive Single Wide,Forced Air,"Urban, Highway Access, Hospital, Open Spaces, Public Transit, Quiet Area, Schools, Shopping Nearby, Trails",Shingle,Municipal,
170,https://www.royallepage.ca/en/property/ontario/london/59-wentworth-ct-court/20222938/mls40461529/,"$649,900",3,1+1,1582 Square Feet,54.90 Feet,R1-8,Sewer (Municipal),Main Level,2nd Level3.38 X 3.94,2nd Level3.38 X 5.13,Main Level2.77 X 3.68,< 0.5,Sidesplit,"Full, Partially Finished","Brick, Vinyl Siding",Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Cul-De-Sac, Hospital, Library, Playground Nearby, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,
171,https://www.royallepage.ca/en/property/ontario/london/57-464-commissioners-road-w/20223541/mls40461880/,"$629,999",3,3+0,1674.03 Square Feet,,R5-6,Sewer (Municipal),2nd Level2.51 X 2.08,Main Level2.64 X 3.96,Main Level3.53 X 4.55,Main Level4.39 X 3.38,Not Applicable,1.5 Storey,"Full, Unfinished",Brick,Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Dog Park, Greenbelt, Highway Access, Hospital, Landscaped, Major Anchor, Open Spaces, Park, Public Transit, Quiet Area, Shopping Nearby",Shingle,Municipal-Metered,
172,https://www.royallepage.ca/en/property/ontario/london/402-1-jacksway-crescent/20231066/mls40462403/,"$374,900",2,1+1,895 Square Feet,,R9-3; H14,Sewer (Municipal),Main Level,Main Level3.89 X 2.49,Main Level3.81 X 3.10,Main Level2.67 X 2.57,Not Applicable,1 Storey/Apt,,"Stone, Stucco",Other,"Outside/Surface/Open, Visitor Parking","Electric, Fireplace-Gas","Urban, Ample Parking, Hospital, Open Spaces, Park, Place of Worship, Playground Nearby, Public Parking, Public Transit, Rec./Community Centre, Regional Mall, School Bus Route, Schools, Shopping Nearby, Trails",Asphalt Shing,Municipal,
173,https://www.royallepage.ca/en/property/ontario/london/2661-tokala-tr/20219638/mlsx6704220/,"$949,999",3,3,,,,,Main Level1.64 m x 1.25 m5.38 ft x 4.10 ft,,2nd Level4.27 m x 3.68 m14.01 ft x 12.07 ft,Main Level3.97 m x 2.75 m13.02 ft x 9.02 ft,,,,,,,,,,,6.0
174,https://www.royallepage.ca/en/property/ontario/london/63-cathcart-street/20221029/mls40461284/,"$849,900",5,,2470 Square Feet,31.08 Feet,R2-2,Sewer (Municipal),,,,,< 0.5,,"Full, Unfinished",Brick,Central Air,Private Drive Double Wide,"Forced Air, Natural Gas","Urban, Rectangular, Corner Lot, Dog Park, City Lot, Greenbelt, Library, Open Spaces, Park, Place of Worship, Playground Nearby, Public Transit, Quiet Area, Rec./Community Centre, School Bus Route, Schools, Shopping Nearby",Asphalt Shing,Municipal-Metered,
175,https://www.royallepage.ca/en/property/ontario/london/1202-smither-rd/20218044/mlsx6703352/,"$819,900",3+1,4,,,,,Lower LevelMeasurements not available,,2nd Level4.18 m x 4.27 m13.71 ft x 14.01 ft,Main Level3.05 m x 2.74 m10.01 ft x 8.99 ft,,,,,,,,,,,4.0
176,https://www.royallepage.ca/en/property/ontario/london/18-2621-holbrook-dr/20218374/mlsx6703968/,"$649,000",3,3,,,,,,,2nd Level5.45 m x 3.43 m17.88 ft x 11.25 ft,Main Level3.10 m x 3.56 m10.17 ft x 11.68 ft,,,,,,,,,,,2.0
